Student Name,Age,Gender,Institute Name,Course Name,class_Type,Duration,Assignments submitted,projects submitted,Mock_Test,Attendance(in %),Certification obtained,Final score(in %),Placement status
Suman Pandey,22,Female ,Tech Academy,Cybersecurity,Online,8 months,8,3,92,70,AWS Specialization,66,No
Harsh Nair,22,Male,Tech Academy,Python Programming,Offline,6 months,6,2,82,70,IIT Madras Standard Course,88,No
Krishna Chopra,23,Male,CodeMasters,Software Testing,Offline,,10,1,51,95,Harvard University Professional Certificate,81,Yes
Sai Bhat,25,Female ,CodeMasters,Cybersecurity,Online,5 months,7,2,48,97,NASSCOM Certification,77,Yes
Shivansh Nair,21,Female ,Naresh i technologies,AI &ML,Online,6 months ,10,2,70,79,No Certification,83,No
Vivaan Deshmukh,22,Female ,Naresh i technologies,Python Programming,Offline,7 months,5,3,38,100,No Certification,81,No
Jhanvi Pillai,24,Male,AI Hub,Robotics,Online,6 months,8,3,56,94,IIT Madras Standard Course,87,Yes
Meera Sharma,24,Male ,AI Hub,Ethical Hacking,Online,5 months,7,2,4,91,NASSCOM Certification,60,No
Om Sharma,24,Male,Naresh i technologies,Data Science,Online,6 months,9,1,58,87,AWS Specialization,65,No
Yash Naidu,25,Female ,AI Hub,AI &ML,Online,7 months,5,3,77,99,Harvard University Professional Certificate,80,No
Aditya Kapoor,23,Female ,Cloud Innovators,Robotics,Online,8 months,5,2,4,87,No Certification,67,No
Laksh Chopra,26,Female ,CodeMasters,Cybersecurity,Online,6 months,6,1,18,71,Harvard University Professional Certificate,64,No
Yash Pillai,24,Male,SocialPrachar,Cybersecurity,Online,5 months,7,3,60,76,AWS Specialization,77,No
Ishita Sharma,25,Male,AI Hub,Ethical Hacking,Offline,5 months,8,2,47,92,No Certification,97,No
Om Deshmukh,22,Female ,Cloud Innovators,Python Programming,Offline,6 months ,8,1,17,73,No Certification,68,No
Arjun Malhotra,25,Female ,CodeMasters,Software Testing,Offline,7 months,9,1,17,85,No Certification,70,No
Suman Malhotra,26,Female ,Cloud Innovators,Data Science,Offline,6 months,9,2,6,92,No Certification,78,Yes
Ananya Kapoor,22,Male,CodeMasters,Python Programming,Offline,5 months,9,3,47,84,No Certification,92,No
Diya Sharma,25,Male ,CyberSecure Institute,Cybersecurity,Offline,6 months,8,3,1,76,No Certification,65,No
Tanvi Gupta,23,Male,CyberSecure Institute,Data Science,Online,7 months,7,1,67,76,NASSCOM Certification,93,No
Rohan Malhotra,22,Female ,AI Hub,Cybersecurity,Offline,8 months,,2,9,99,No Certification,75,No
Aarav Joshi,24,Female ,AI Hub,Cybersecurity,Online,6 months,10,3,89,99,No Certification,100,No
Om Tripathi,25,Female ,AI Hub,AI &ML,Offline,5 months,8,3,9,92,No Certification,72,Yes
Kunal Iyer,22,Male,CodeMasters,Ethical Hacking,Offline,5 months,10,3,25,81,No Certification,66,No
Om Gowda,22,Male,Tech Academy,Data Science,Offline,6 months ,6,3,59,73,No Certification,92,No
Kunal Bhat,22,Female ,Tech Academy,Python Programming,Offline,7 months,5,2,56,88,NASSCOM Certification,69,No
Yash Malhotra,22,Female ,CyberSecure Institute,Software Testing,Offline,6 months,5,3,68,81,NASSCOM Certification,78,No
Arjun Kulkarni,22,Female ,Tech Academy,Data Science,Online,5 months,10,3,68,74,No Certification,73,No
Om Tripathi,22,Male,CyberSecure Institute,Python Programming,Offline,6 months,8,3,14,75,NASSCOM Certification,65,No
Laksh Venkatesh,22,Male ,AI Hub,Web Development,Offline,7 months,6,1,88,91,IIT Madras Standard Course,83,No
Yash Verma,23,Male,Tech Academy,Python Programming,Offline,8 months,5,3,56,100,AWS Specialization,82,No
Kabir Chopra,25,Female ,CodeMasters,AI &ML,Online,6 months,9,2,16,87,No Certification,98,No
Gayatri Mehta,21,Female ,Tech Academy,Python Programming,Online,5 months,5,2,49,84,No Certification,87,No
Om Pandey,22,Female ,Cloud Innovators,Robotics,Offline,5 months,5,2,76,70,No Certification,80,Yes
Kunal Bhat,24,Male,AI Hub,Software Testing,Online,6 months ,8,2,93,87,No Certification,89,Yes
Meera Joshi,24,Male,CyberSecure Institute,Cybersecurity,Online,7 months,5,1,10,85,No Certification,68,No
Om Nair,24,Female ,CodeMasters,Web Development,Offline,6 months,10,1,56,89,AWS Specialization,79,No
Aditya Mehta,25,Female ,CyberSecure Institute,Ethical Hacking,Online,5 months,6,2,35,98,Harvard University Professional Certificate,61,No
Sanya Mehta,23,Female ,AI Hub,Python Programming,Online,6 months,7,2,50,79,No Certification,68,No
Jhanvi Venkatesh,26,Male,Cloud Innovators,Web Development,Online,7 months,7,3,96,72,No Certification,78,No
Suman Chopra,24,Male ,Tech Academy,Data Science,Offline,8 months,5,2,56,79,No Certification,88,Yes
Jhanvi Gupta,25,Male,AI Hub,Robotics,Online,6 months,8,3,48,71,No Certification,66,No
Tanvi Joshi,22,Female ,CodeMasters,Software Testing,Online,5 months,5,2,86,94,Harvard University Professional Certificate,77,No
Ishita Chopra,25,Female ,Tech Academy,Data Science,Offline,6 months ,7,3,96,93,IIT Madras Standard Course,60,No
Priya Joshi,26,Female ,AI Hub,Ethical Hacking,Online,7 months,6,2,27,81,Harvard University Professional Certificate,62,Yes
Om Deshmukh,22,Male,CyberSecure Institute,Data Science,Online,6 months,5,1,56,70,NASSCOM Certification,66,No
Samar Reddy,25,Male,CyberSecure Institute,AI &ML,Offline,5 months,10,3,94,90,IIT Madras Standard Course,99,Yes
Tanvi Sharma,23,Female ,Cloud Innovators,Robotics,Online,6 months,10,2,,70,No Certification,98,Yes
Harsh Venkatesh,22,Female ,Cloud Innovators,Software Testing,Online,7 months,8,2,20,76,NASSCOM Certification,86,No
Sanya Deshmukh,24,Female ,Tech Academy,Cybersecurity,Offline,8 months,6,1,64,100,No Certification,96,Yes
Kunal Gupta,25,Male,AI Hub,Data Analytics,Offline,6 months,10,3,51,91,AWS Specialization,77,Yes
Neha Nair,22,Male ,AI Hub,Ethical Hacking,Offline,5 months,8,2,65,86,Harvard University Professional Certificate,96,Yes
Isha Kulkarni,22,Male,Tech Academy,Python Programming,Offline,5 months,7,1,91,71,No Certification,88,No
Neha Kapoor,22,Female ,CyberSecure Institute,AI &ML,Online,,9,1,88,87,AWS Specialization,99,Yes
Nirav Venkatesh,22,Female ,AI Hub,Web Development,Online,7 months,9,2,50,81,Harvard University Professional Certificate,84,No
Tanvi Nair,22,Female ,Cloud Innovators,Data Analytics,Online,6 months,8,1,98,74,No Certification,88,Yes
Samar Chopra,22,Male,Cloud Innovators,Python Programming,Offline,5 months,6,2,11,72,No Certification,79,Yes
Isha Nair,22,Male,Tech Academy,Robotics,Offline,6 months,7,3,61,98,AWS Specialization,97,No
Nirav Deshmukh,23,Female ,Tech Academy,Software Testing,Online,7 months,8,3,81,89,No Certification,92,Yes
Aarav Chopra,25,Female ,Tech Academy,Cybersecurity,Online,8 months,5,1,39,71,NASSCOM Certification,97,Yes
Arjun Gupta,21,Female ,CyberSecure Institute,Robotics,Offline,6 months,10,2,57,88,No Certification,76,No
Krishna Iyer,22,Male,Tech Academy,Ethical Hacking,Offline,5 months,6,1,33,75,No Certification,71,No
Diya Tripathi,24,Male ,AI Hub,Cybersecurity,Online,5 months,6,3,87,70,No Certification,78,No
Aditya Verma,24,Male,Tech Academy,Web Development,Online,6 months ,6,3,21,92,No Certification,66,No
Kavya Nair,24,Female ,Tech Academy,Cybersecurity,Offline,7 months,5,3,69,98,No Certification,88,No
Pooja Pillai,25,Female ,CyberSecure Institute,Data Science,Online,6 months,9,3,65,84,IIT Madras Standard Course,64,No
Aadhya Naidu,23,Female ,CodeMasters,Web Development,Online,5 months,6,1,14,91,No Certification,65,Yes
Nirav Kapoor,26,Male,CodeMasters,Robotics,Online,6 months,8,2,90,97,No Certification,85,No
Riya Gupta,24,Male,AI Hub,Cybersecurity,Online,7 months,8,2,83,92,IIT Madras Standard Course,99,No
Arjun Kulkarni,,Female ,Tech Academy,Data Science,Offline,8 months,9,1,13,95,No Certification,63,Yes
Kavya Pandey,25,Female ,Tech Academy,Cloud Computing,Offline,6 months,9,2,2,75,No Certification,60,Yes
Vivaan Verma,26,Female ,CodeMasters,Robotics,Offline,5 months,5,3,48,75,NASSCOM Certification,67,No
Pooja Gupta,22,Male,CyberSecure Institute,Robotics,Online,5 months,8,1,68,74,AWS Specialization,86,Yes
Rudra Venkatesh,25,Male ,Cloud Innovators,Python Programming,Offline,6 months ,10,2,55,75,IIT Madras Standard Course,83,Yes
Kavya Sharma,23,Male,Tech Academy,AI &ML,Online,7 months,7,1,80,93,No Certification,97,No
Rudra Mehta,22,Female ,CyberSecure Institute,Data Analytics,Online,6 months,8,3,54,72,No Certification,100,Yes
Sai Reddy,24,Female ,Cloud Innovators,Data Science,Offline,5 months,7,3,16,85,No Certification,60,Yes
Aarohi Pandey,25,Female ,CyberSecure Institute,Ethical Hacking,Offline,6 months,7,1,34,73,No Certification,90,No
Kavya Verma,22,Male,AI Hub,Robotics,Online,7 months,8,3,47,100,No Certification,77,No
Radha Nair,22,Male,CyberSecure Institute,AI &ML,Offline,8 months,5,3,40,98,No Certification,77,No
Aditya Gupta,22,Female ,Tech Academy,Web Development,Online,6 months,5,1,49,94,No Certification,84,Yes
Diya Bhat,22,Female ,CodeMasters,Cybersecurity,Offline,5 months,10,3,91,81,AWS Specialization,86,Yes
Laksh Venkatesh,22,Female ,Tech Academy,Robotics,Offline,5 months,8,2,76,100,AWS Specialization,77,Yes
Vikram Mehta,22,Male,AI Hub,Data Analytics,Offline,6 months ,8,1,49,83,Harvard University Professional Certificate,75,No
Yash Sharma,22,Male ,CodeMasters,Web Development,Online,7 months,7,3,33,79,No Certification,70,Yes
Ananya Deshmukh,23,Male,Tech Academy,Web Development,Offline,6 months,9,2,78,99,NASSCOM Certification,95,No
Yash Sharma,25,Female ,CyberSecure Institute,Data Analytics,Offline,5 months,7,1,93,78,Harvard University Professional Certificate,67,Yes
Vivaan Deshmukh,21,Female ,Tech Academy,Cloud Computing,Online,6 months,8,3,17,91,No Certification,70,Yes
Harsh Nair,22,Female ,AI Hub,Data Science,Offline,7 months,8,3,21,89,Harvard University Professional Certificate,64,No
Rohan Verma,24,Male,CodeMasters,Python Programming,Online,8 months,7,1,60,99,No Certification,98,No
Aarohi Tripathi,24,Male,Cloud Innovators,Software Testing,Offline,6 months,5,2,2,95,AWS Specialization,89,No
Ishita Sharma,24,Female ,CyberSecure Institute,Ethical Hacking,Online,5 months,10,2,96,73,IIT Madras Standard Course,63,No
Radha Deshmukh,25,Female ,Tech Academy,AI &ML,Online,7 months,5,3,7,99,No Certification,64,Yes
Pooja Venkatesh,23,Female ,CodeMasters,AI &ML,Offline,6 months,6,2,29,70,No Certification,77,No
Sanya Chopra,26,Male,AI Hub,AI &ML,Offline,5 months,9,3,12,95,AWS Specialization,79,No
Gayatri Nair,24,Male ,Cloud Innovators,Data Science,Online,6 months,6,1,41,74,No Certification,78,Yes
Neha Sharma,25,Male,CyberSecure Institute,Data Science,Online,7 months,7,1,11,82,No Certification,80,No
Dev Mehta,22,Female ,CyberSecure Institute,Web Development,Offline,8 months,6,1,16,87,No Certification,66,Yes
Nirav Deshmukh,25,Female ,Tech Academy,Data Analytics,Online,6 months,7,3,6,73,No Certification,92,Yes
Aadhya Pillai,26,Female ,AI Hub,Cloud Computing,Online,5 months,8,3,48,87,AWS Specialization,70,Yes
Yash Bhat,22,Male,AI Hub,Data Analytics,Offline,5 months,9,3,31,83,No Certification,93,No
Vikram Deshmukh,25,Male,Cloud Innovators,Robotics,Online,6 months ,8,3,16,71,No Certification,92,Yes
Ananya Venkatesh,23,Female ,CyberSecure Institute,Cybersecurity,Offline,7 months,10,3,60,73,No Certification,98,No
Kavya Kulkarni,22,Female ,Cloud Innovators,Data Analytics,Online,6 months,7,1,97,83,Harvard University Professional Certificate,79,No
Diya Deshmukh,24,Female ,Cloud Innovators,Python Programming,Online,5 months,6,1,5,95,No Certification,62,No
Bhavna Tripathi,25,Male,Cloud Innovators,Cybersecurity,Offline,6 months,10,1,46,99,No Certification,83,No
Diya Naidu,22,Male ,Cloud Innovators,Robotics,Online,7 months,10,1,13,74,No Certification,94,Yes
Aarav Naidu,22,Male,CodeMasters,Web Development,Offline,8 months,7,1,83,78,IIT Madras Standard Course,62,Yes
Jhanvi Mehta,22,Female ,Cloud Innovators,Robotics,Offline,6 months,9,2,70,90,Harvard University Professional Certificate,78,Yes
Meera Mehta,22,Female ,AI Hub,Data Science,Online,5 months,9,3,35,84,No Certification,72,No
Harsh Joshi,22,Female ,Tech Academy,Cybersecurity,Offline,,10,2,64,77,No Certification,80,No
Tanvi Venkatesh,22,Male,CodeMasters,AI &ML,Online,6 months ,9,1,17,95,No Certification,72,No
Ishita Nair,22,Male,AI Hub,Data Science,Online,7 months,7,2,87,94,No Certification,63,No
Gayatri Tripathi,23,Female ,Cloud Innovators,Cloud Computing,Offline,6 months,7,3,39,95,No Certification,70,Yes
Aryan Malhotra,25,Female ,CyberSecure Institute,Robotics,Online,5 months,10,2,84,97,AWS Specialization,79,No
Krishna Chopra,21,Female ,Tech Academy,Data Science,Online,6 months,8,3,15,91,No Certification,83,Yes
Kavya Venkatesh,22,Male,CodeMasters,Web Development,Offline,7 months,5,1,72,100,Harvard University Professional Certificate,62,Yes
Bhavna Venkatesh,24,Male ,AI Hub,Python Programming,Online,8 months,9,3,34,71,AWS Specialization,99,No
Riya Pillai,24,Male,CodeMasters,Data Science,Online,6 months,6,1,2,76,No Certification,92,No
Aarav Venkatesh,24,Female ,AI Hub,Cloud Computing,Online,5 months,10,1,44,94,No Certification,61,No
Rohan Reddy,25,Female ,Cloud Innovators,Python Programming,Offline,5 months,10,3,6,76,No Certification,63,No
Aadhya Reddy,23,Female ,Tech Academy,Cloud Computing,Offline,6 months ,8,2,64,85,NASSCOM Certification,91,No
Shivansh Naidu,26,Male,Tech Academy,AI &ML,Offline,7 months,8,2,7,84,No Certification,74,Yes
Vivaan Naidu,24,Male,CyberSecure Institute,Ethical Hacking,Offline,6 months,10,1,33,88,No Certification,63,Yes
Om Pandey,25,Female ,Cloud Innovators,AI &ML,Offline,5 months,10,1,52,81,No Certification,69,No
Isha Gupta,22,Female ,AI Hub,Data Analytics,Offline,6 months,7,1,5,96,Harvard University Professional Certificate,67,No
Kabir Pandey,25,Male,CodeMasters,Software Testing,Online,7 months,7,3,82,93,No Certification,75,Yes
Aditya Malhotra,26,Male ,Cloud Innovators,Cybersecurity,Offline,8 months,10,1,22,90,No Certification,86,No
Meera Pandey,22,Male,CyberSecure Institute,Cloud Computing,Online,6 months,8,3,77,73,Harvard University Professional Certificate,78,No
Kavya Sharma,25,Female ,Cloud Innovators,Software Testing,Online,5 months,8,2,55,80,No Certification,64,No
Kabir Chopra,23,Female ,Cloud Innovators,Ethical Hacking,Online,5 months,7,1,20,77,AWS Specialization,95,Yes
Neha Chopra,,Female ,Cloud Innovators,Python Programming,Online,6 months ,8,1,13,89,No Certification,71,Yes
Vikram Joshi,24,Male,CodeMasters,AI &ML,Online,7 months,5,1,22,72,No Certification,79,No
Radha Gowda,25,Male,CodeMasters,Ethical Hacking,Offline,6 months,5,3,95,98,AWS Specialization,73,Yes
Arjun Gowda,22,Female ,CodeMasters,Data Science,Online,5 months,7,3,70,95,NASSCOM Certification,92,No
Kavya Kapoor,22,Female ,AI Hub,Robotics,Offline,6 months,7,2,65,80,NASSCOM Certification,66,No
Rohan Nair,22,Female ,AI Hub,Data Analytics,Online,7 months,5,2,84,98,No Certification,74,No
Ananya Pillai,22,Male,Tech Academy,AI &ML,Offline,8 months,7,3,51,94,No Certification,64,No
Om Deshmukh,22,Male ,CodeMasters,Web Development,Offline,6 months,8,1,65,81,AWS Specialization,71,Yes
Neha Gupta,22,Male,Tech Academy,Cybersecurity,Offline,5 months,6,3,0,80,IIT Madras Standard Course,72,Yes
Kunal Pillai,22,Female ,CyberSecure Institute,Cloud Computing,Offline,6 months ,8,1,73,88,No Certification,63,Yes
Gayatri Kapoor,23,Female ,Tech Academy,Cloud Computing,Offline,7 months,6,3,14,80,No Certification,67,Yes
Bhavna Mehta,25,Female ,AI Hub,Ethical Hacking,Offline,6 months,7,2,28,73,No Certification,64,No
Laksh Gupta,21,Male,Tech Academy,Software Testing,Offline,5 months,9,2,37,87,No Certification,71,Yes
Rohan Bhat,22,Male,Cloud Innovators,Ethical Hacking,Offline,6 months,8,3,46,73,Harvard University Professional Certificate,93,Yes
Aarav Venkatesh,24,Female ,AI Hub,Software Testing,Offline,7 months,9,2,49,92,No Certification,90,Yes
Arjun Deshmukh,24,Female ,AI Hub,Software Testing,Offline,8 months,10,3,72,98,NASSCOM Certification,87,Yes
Ananya Pillai,24,Female ,Tech Academy,Data Science,Offline,6 months,10,2,65,78,Harvard University Professional Certificate,61,Yes
Diya Reddy,25,Male,CyberSecure Institute,Ethical Hacking,Offline,5 months,9,1,84,94,NASSCOM Certification,62,No
Tanvi Mehta,23,Male ,Tech Academy,Ethical Hacking,Offline,5 months,10,2,28,86,IIT Madras Standard Course,97,No
Meera Nair,26,Male,CyberSecure Institute,Python Programming,Online,6 months ,9,3,9,97,No Certification,72,Yes
Bhavna Kapoor,24,Female ,Tech Academy,Robotics,Online,7 months,6,1,21,89,No Certification,94,No
Kavya Pandey,25,Female ,CodeMasters,Robotics,Online,,7,3,23,80,No Certification,98,No
Tanvi Malhotra,22,Female ,Tech Academy,Data Analytics,Online,5 months,5,1,2,73,No Certification,76,No
Ananya Iyer,25,Male,CodeMasters,Cybersecurity,Online,6 months,7,1,21,87,No Certification,88,Yes
Samar Venkatesh,26,Male,CodeMasters,Software Testing,Offline,7 months,7,3,51,73,IIT Madras Standard Course,100,Yes
Pooja Reddy,22,Female ,Cloud Innovators,Data Analytics,Offline,8 months,6,2,13,95,No Certification,94,No
Diya Bhat,25,Female ,CyberSecure Institute,Robotics,Offline,6 months,6,2,62,92,No Certification,97,Yes
Aditya Nair,23,Female ,AI Hub,Data Science,Offline,5 months,6,3,28,72,NASSCOM Certification,71,No
Vivaan Kapoor,22,Male,Tech Academy,Ethical Hacking,Online,5 months,8,2,10,70,Harvard University Professional Certificate,97,Yes
Yash Gupta,24,Male ,CodeMasters,Software Testing,Online,6 months ,10,2,57,70,No Certification,61,Yes
Sanya Pandey,25,Male,Tech Academy,AI &ML,Online,7 months,8,1,61,84,AWS Specialization,87,No
Kavya Kulkarni,22,Female ,AI Hub,Cloud Computing,Online,6 months,6,3,67,85,No Certification,70,No
Bhavna Venkatesh,22,Female ,Cloud Innovators,AI &ML,Offline,5 months,6,2,85,86,NASSCOM Certification,74,Yes
Rudra Pillai,22,Female ,CodeMasters,Data Science,Online,6 months,5,2,64,78,AWS Specialization,99,No
Rohan Chopra,22,Male,Cloud Innovators,Robotics,Online,7 months,7,1,12,77,No Certification,60,Yes
Bhavna Reddy,22,Male,Tech Academy,Cybersecurity,Online,8 months,8,2,61,80,No Certification,95,No
Radha Joshi,,Female ,AI Hub,AI &ML,Offline,6 months,10,2,13,85,No Certification,64,No
Vivaan Iyer,22,Female ,CyberSecure Institute,AI &ML,Offline,5 months,6,1,16,93,No Certification,86,No
Aarav Pillai,23,Female ,CodeMasters,Data Analytics,Offline,5 months,10,3,84,94,Harvard University Professional Certificate,88,No
Aarohi Verma,25,Male,Tech Academy,Cloud Computing,Offline,6 months ,7,1,27,96,No Certification,94,Yes
Aarohi Venkatesh,21,Male ,AI Hub,AI &ML,Online,7 months,7,3,45,72,AWS Specialization,87,No
Kabir Pandey,22,Male,Tech Academy,Web Development,Offline,6 months,9,1,11,97,No Certification,67,No
Harsh Nair,24,Female ,CodeMasters,Cybersecurity,Offline,5 months,5,2,13,95,Harvard University Professional Certificate,76,Yes
Neha Gowda,24,Female ,CyberSecure Institute,Python Programming,Online,6 months,6,3,65,70,IIT Madras Standard Course,80,No
Neha Gupta,24,Female ,Cloud Innovators,Python Programming,Online,7 months,9,1,95,86,Harvard University Professional Certificate,80,No
Vivaan Mehta,25,Male,AI Hub,Data Analytics,Offline,8 months,9,2,20,87,No Certification,96,Yes
Tanvi Bhat,23,Male,Tech Academy,Software Testing,Offline,6 months,10,3,0,74,No Certification,68,Yes
Neha Reddy,26,Female ,Cloud Innovators,Python Programming,Online,5 months,8,2,11,95,No Certification,61,No
Riya Verma,24,Female ,Cloud Innovators,Cloud Computing,Offline,5 months,6,1,20,84,AWS Specialization,70,Yes
Aarohi Verma,25,Female ,Cloud Innovators,Data Analytics,Offline,6 months ,7,3,71,88,NASSCOM Certification,73,Yes
Kunal Pandey,22,Male,CyberSecure Institute,Data Science,Online,7 months,7,3,82,87,NASSCOM Certification,100,No
Dev Pandey,25,Male ,AI Hub,Cloud Computing,Online,6 months,5,3,2,76,No Certification,72,No
Arjun Malhotra,26,Male,CodeMasters,Software Testing,Offline,5 months,7,2,35,96,AWS Specialization,74,Yes
Aryan Joshi,22,Female ,CodeMasters,Cybersecurity,Offline,6 months,6,2,8,86,IIT Madras Standard Course,97,Yes
Bhavna Gupta,,Female ,CyberSecure Institute,Data Science,Offline,7 months,5,1,84,88,IIT Madras Standard Course,89,Yes
Krishna Mehta,23,Female ,CodeMasters,Cybersecurity,Online,8 months,8,3,20,89,No Certification,68,No
Aarohi Reddy,22,Male,Tech Academy,Data Science,Offline,6 months,7,3,33,82,No Certification,96,Yes
Tanvi Pillai,24,Male,Cloud Innovators,Robotics,Online,5 months,7,3,0,84,No Certification,83,No
Sanya Reddy,25,Female ,CyberSecure Institute,Cloud Computing,Online,6 months,6,3,3,93,No Certification,76,Yes
Arjun Sharma,22,Female ,Cloud Innovators,Software Testing,Offline,5 months,9,3,78,99,AWS Specialization,74,Yes
Isha Iyer,22,Female ,CodeMasters,Data Science,Online,6 months,10,2,58,83,IIT Madras Standard Course,95,No
Suman Pillai,22,Male,AI Hub,AI &ML,Online,7 months,5,2,22,81,No Certification,91,Yes
Aarohi Malhotra,22,Male ,Tech Academy,AI &ML,Online,8 months,10,3,14,95,No Certification,97,No
Krishna Mehta,22,Male,Cloud Innovators,Cybersecurity,Offline,6 months,7,3,21,72,No Certification,96,Yes
Nirav Malhotra,22,Female ,CodeMasters,Data Analytics,Offline,5 months,8,2,41,94,No Certification,85,No
Harsh Verma,22,Female ,Tech Academy,Cloud Computing,Online,5 months,7,2,88,74,IIT Madras Standard Course,72,Yes
Samar Bhat,23,Female ,CodeMasters,Cloud Computing,Online,6 months ,9,1,89,75,Harvard University Professional Certificate,90,No
Harsh Iyer,25,Male,AI Hub,AI &ML,Offline,7 months,7,3,73,88,NASSCOM Certification,75,Yes
Om Naidu,21,Male,Cloud Innovators,Web Development,Offline,6 months,7,3,12,72,No Certification,96,No
Gayatri Mehta,22,Female ,Cloud Innovators,Software Testing,Online,5 months,8,1,81,78,AWS Specialization,94,No
Neha Pandey,24,Female ,AI Hub,Cloud Computing,Online,6 months,10,2,88,99,IIT Madras Standard Course,86,Yes
Dev Gowda,24,Female ,Tech Academy,Robotics,Online,7 months,5,2,40,87,NASSCOM Certification,74,No
Harsh Nair,24,Male,Cloud Innovators,Python Programming,Offline,8 months,7,1,15,95,No Certification,61,Yes
Harsh Mehta,25,Male ,CodeMasters,Data Analytics,Online,6 months,10,3,32,89,IIT Madras Standard Course,84,Yes
Laksh Chopra,23,Male,CodeMasters,Python Programming,Offline,5 months,6,2,34,94,No Certification,94,No
Shruti Kulkarni,26,Female ,CyberSecure Institute,AI &ML,Offline,5 months,7,2,8,86,No Certification,85,Yes
Aarav Venkatesh,24,Female ,AI Hub,Web Development,Online,6 months ,6,1,42,96,No Certification,67,No
Sanya Tripathi,25,Female ,CodeMasters,Python Programming,Online,7 months,8,3,72,87,No Certification,70,No
Kunal Venkatesh,22,Male,CyberSecure Institute,Data Analytics,Offline,6 months,8,1,73,91,AWS Specialization,80,Yes
Ishita Verma,25,Male,Tech Academy,Web Development,Online,5 months,7,1,5,71,No Certification,76,No
Pooja Joshi,26,Female ,AI Hub,Robotics,Online,6 months,10,2,1,79,IIT Madras Standard Course,92,No
Kabir Nair,22,Female ,Cloud Innovators,AI &ML,Offline,7 months,6,1,99,89,IIT Madras Standard Course,91,No
Vikram Deshmukh,25,Female ,Cloud Innovators,Ethical Hacking,Offline,8 months,8,3,73,86,AWS Specialization,63,No
Neha Kapoor,23,Male,CodeMasters,Ethical Hacking,Offline,6 months,5,2,51,100,IIT Madras Standard Course,100,No
Samar Gupta,22,Male ,Cloud Innovators,Python Programming,Offline,5 months,6,3,61,91,NASSCOM Certification,96,Yes
Arjun Naidu,24,Male,CyberSecure Institute,Ethical Hacking,Online,5 months,9,2,10,97,No Certification,74,No
Krishna Kulkarni,25,Female ,CyberSecure Institute,Data Analytics,Online,6 months ,8,1,57,90,NASSCOM Certification,68,No
Kavya Mehta,22,Female ,Cloud Innovators,Cybersecurity,Online,7 months,6,2,78,90,NASSCOM Certification,94,No
Gayatri Tripathi,22,Female ,Tech Academy,Robotics,Online,6 months,9,3,75,97,Harvard University Professional Certificate,62,No
Jhanvi Mehta,22,Male,Cloud Innovators,Software Testing,Offline,5 months,10,2,41,73,No Certification,74,Yes
Kavya Kulkarni,,Male,Tech Academy,Cybersecurity,Offline,6 months,9,1,57,73,IIT Madras Standard Course,79,Yes
Sanya Gowda,22,Female ,Tech Academy,Ethical Hacking,Offline,7 months,5,2,9,94,IIT Madras Standard Course,78,No
Jhanvi Gowda,22,Female ,AI Hub,Robotics,Online,8 months,10,2,54,100,AWS Specialization,84,No
Aadhya Kapoor,22,Female ,Cloud Innovators,Software Testing,Offline,6 months,9,1,59,97,NASSCOM Certification,64,No
Isha Deshmukh,23,Male,CodeMasters,Cybersecurity,Online,5 months,6,1,31,77,AWS Specialization,71,Yes
Aarav Pillai,25,Male ,CyberSecure Institute,Cybersecurity,Offline,5 months,5,3,56,80,NASSCOM Certification,70,No
Aryan Naidu,21,Male,Tech Academy,Cloud Computing,Offline,6 months ,9,2,81,72,No Certification,69,No
Sai Joshi,22,Female ,Tech Academy,AI &ML,Offline,7 months,9,1,41,73,Harvard University Professional Certificate,99,No
Aarohi Malhotra,24,Female ,AI Hub,Ethical Hacking,Online,6 months,7,3,0,96,No Certification,65,Yes
Sanya Joshi,24,Female ,CodeMasters,Cybersecurity,Offline,5 months,7,3,89,79,No Certification,71,Yes
Suman Pillai,24,Male,CodeMasters,Data Science,Offline,6 months,5,2,46,95,Harvard University Professional Certificate,94,Yes
Shruti Deshmukh,25,Male,AI Hub,Web Development,Online,7 months,7,3,38,98,No Certification,94,No
Jhanvi Malhotra,23,Female ,Cloud Innovators,Cybersecurity,Online,8 months,10,2,96,96,AWS Specialization,84,Yes
Radha Gupta,26,Female ,CodeMasters,AI &ML,Online,6 months,7,3,45,74,No Certification,61,No
Rohan Chopra,24,Female ,CyberSecure Institute,Robotics,Offline,5 months,9,2,67,76,NASSCOM Certification,70,Yes
Harsh Chopra,25,Male,CyberSecure Institute,Data Science,Offline,,9,1,91,76,No Certification,71,No
Aryan Naidu,22,Male ,AI Hub,Ethical Hacking,Offline,7 months,9,1,72,72,No Certification,61,Yes
Meera Joshi,25,Male,Tech Academy,Python Programming,Online,6 months,8,1,29,75,AWS Specialization,78,Yes
Nirav Malhotra,26,Female ,CyberSecure Institute,Robotics,Online,5 months,6,1,19,80,AWS Specialization,77,Yes
Vikram Mehta,22,Female ,AI Hub,Cybersecurity,Offline,6 months,6,3,5,79,No Certification,80,No
Vikram Tripathi,25,Female ,Cloud Innovators,AI &ML,Online,7 months,7,2,20,88,No Certification,81,Yes
Aryan Malhotra,23,Male,Cloud Innovators,Cloud Computing,Offline,8 months,6,3,48,98,Harvard University Professional Certificate,87,Yes
